NbOfCities,Optimal distance,Sequencing,Duration (in ms)
40,69048.410482332,Mexico City / Chicago / New York / Bogota / Lima / Buenos Aires / Sao Paulo / Rio de Janeiro / Kinshasa / Lagos / Paris / London / Moscow / Istanbul / Cairo / Tehran / Karachi / Lahore / Delhi / Mumbai / Bengaluru / Chennai / Kolkata / Dhaka / Bangkok / Jakarta / Manila / Hong Kong / Shenzhen / Guangzhou / Taipei / Shanghai / Wuhan / Chongqing / Beijing / Tianjin / Seoul / Osaka / Tokyo / Los Angeles / Mexico City,41765
40,68339.53028328934,Cairo / Istanbul / Tehran / Lahore / Delhi / Kolkata / Dhaka / Chongqing / Wuhan / Beijing / Tianjin / Seoul / Tokyo / Osaka / Shanghai / Taipei / Guangzhou / Shenzhen / Hong Kong / Manila / Jakarta / Bangkok / Chennai / Bengaluru / Mumbai / Karachi / Moscow / Paris / London / New York / Chicago / Los Angeles / Mexico City / Bogota / Lima / Buenos Aires / Sao Paulo / Rio de Janeiro / Lagos / Kinshasa / Cairo,34498
50,71034.6683595082,Madrid / Paris / London / Moscow / Istanbul / Cairo / Tehran / Karachi / Lahore / Delhi / Ahmadabad / Mumbai / Hyderabad / Bengaluru / Chennai / Kolkata / Dhaka / Bangkok / Ho Chi Minh City / Jakarta / Manila / Hong Kong / Shenzhen / Guangzhou / Chongqing / Wuhan / Taipei / Shanghai / Tianjin / Beijing / Seoul / Osaka / Tokyo / Los Angeles / Mexico City / Houston / Dallas / Chicago / New York / Philadelphia / Miami / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Kinshasa / Lagos / Madrid,68455
50,73925.92994220265,Sao Paulo / Buenos Aires / Santiago / Lima / Bogota / Miami / Mexico City / Los Angeles / Houston / Dallas / Chicago / Philadelphia / New York / Madrid / Paris / London / Moscow / Istanbul / Cairo / Tehran / Karachi / Ahmadabad / Lahore / Delhi / Kolkata / Dhaka / Chongqing / Wuhan / Beijing / Tianjin / Seoul / Tokyo / Osaka / Shanghai / Taipei / Guangzhou / Shenzhen / Hong Kong / Manila / Jakarta / Ho Chi Minh City / Bangkok / Chennai / Bengaluru / Hyderabad / Mumbai / Kinshasa / Lagos / Belo Horizonte / Rio de Janeiro / Sao Paulo,137824
50,73073.06068745225,Ahmadabad / Delhi / Lahore / Karachi / Tehran / Cairo / Istanbul / Moscow / London / Paris / Madrid / Lagos / Kinshasa / Belo Horizonte / Rio de Janeiro / Sao Paulo / Buenos Aires / Santiago / Lima / Bogota / Miami / Philadelphia / New York / Chicago / Dallas / Houston / Mexico City / Los Angeles / Tokyo / Osaka / Seoul / Wuhan / Guangzhou / Shenzhen / Hong Kong / Bangkok / Ho Chi Minh City / Jakarta / Manila / Taipei / Shanghai / Tianjin / Beijing / Chongqing / Dhaka / Kolkata / Chennai / Bengaluru / Hyderabad / Mumbai / Ahmadabad,144126
50,73997.44905198841,Bengaluru / Hyderabad / Delhi / Lahore / Moscow / London / Paris / Madrid / New York / Philadelphia / Chicago / Dallas / Houston / Los Angeles / Mexico City / Miami / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Lagos / Kinshasa / Cairo / Istanbul / Tehran / Karachi / Ahmadabad / Mumbai / Kolkata / Dhaka / Chongqing / Wuhan / Beijing / Tianjin / Seoul / Tokyo / Osaka / Shanghai / Taipei / Guangzhou / Shenzhen / Hong Kong / Manila / Jakarta / Ho Chi Minh City / Bangkok / Chennai / Bengaluru,99831
50,78909.54098648141,Bangkok / Ho Chi Minh City / Jakarta / Manila / Taipei / Shanghai / Tianjin / Beijing / Tehran / Cairo / Istanbul / Moscow / London / Paris / Madrid / Lagos / Kinshasa / Belo Horizonte / Rio de Janeiro / Sao Paulo / Buenos Aires / Santiago / Lima / Bogota / Mexico City / Houston / Dallas / Miami / Philadelphia / New York / Chicago / Los Angeles / Tokyo / Osaka / Seoul / Wuhan / Shenzhen / Hong Kong / Guangzhou / Chongqing / Dhaka / Chennai / Bengaluru / Hyderabad / Mumbai / Ahmadabad / Karachi / Lahore / Delhi / Kolkata / Bangkok,53482
60,74851.06637892833,Chongqing / Guangzhou / Shenzhen / Hong Kong / Taipei / Manila / Jakarta / Singapore / Ho Chi Minh City / Bangkok / Dhaka / Haora / Kolkata / Chennai / Bengaluru / Hyderabad / Mumbai / Ahmadabad / Delhi / Lahore / Karachi / Tehran / Baghdad / Moscow / London / Paris / Madrid / Barcelona / Istanbul / Cairo / Khartoum / Kinshasa / Luanda / Lagos / Belo Horizonte / Rio de Janeiro / Sao Paulo / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Washington / Philadelphia / New York / Toronto / Chicago / Dallas / Houston / Mexico City / Los Angeles / Tokyo / Osaka / Seoul / Shenyang / Beijing / Tianjin / Shanghai / Wuhan / Chongqing,204105
60,74941.00149148527,Chennai / Bengaluru / Hyderabad / Mumbai / Ahmadabad / Delhi / Lahore / Karachi / Tehran / Baghdad / Moscow / London / Paris / Madrid / Barcelona / Istanbul / Cairo / Khartoum / Kinshasa / Luanda / Lagos / Belo Horizonte / Rio de Janeiro / Sao Paulo / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Washington / Philadelphia / New York / Toronto / Chicago / Dallas / Houston / Mexico City / Los Angeles / Tokyo / Osaka / Seoul / Shenyang / Beijing / Tianjin / Shanghai / Taipei / Wuhan / Chongqing / Guangzhou / Shenzhen / Hong Kong / Manila / Jakarta / Singapore / Ho Chi Minh City / Bangkok / Dhaka / Haora / Kolkata / Chennai,225954
60,83433.28713167341,Bengaluru / Chennai / Bangkok / Ho Chi Minh City / Manila / Jakarta / Singapore / Mumbai / Ahmadabad / Karachi / Moscow / London / Paris / Barcelona / Madrid / New York / Philadelphia / Washington / Toronto / Chicago / Los Angeles / Mexico City / Houston / Dallas / Atlanta / Miami / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Lagos / Luanda / Kinshasa / Khartoum / Cairo / Istanbul / Baghdad / Tehran / Lahore / Delhi / Dhaka / Chongqing / Wuhan / Osaka / Tokyo / Seoul / Shenyang / Beijing / Tianjin / Shanghai / Taipei / Hong Kong / Shenzhen / Guangzhou / Haora / Kolkata / Hyderabad / Bengaluru,77898
