NbOfCities,Optimal distance,Sequencing,Duration (in ms)
80,91788.21994050655,Madrid / Barcelona / Paris / London / Saint Petersburg / Moscow / Tehran / Lahore / Delhi / Singapore / Jakarta / Melbourne / Sydney / Manila / Taipei / Shanghai / Osaka / Tokyo / Seoul / Shenyang / Tianjin / Beijing / Xi'an / Chengdu / Chongqing / Wuhan / Shenzhen / Hong Kong / Dongguan / Guangzhou / Hechi / Hanoi / Ho Chi Minh City / Bangkok / Rangoon / Chittagong / Dhaka / Haora / Kolkata / Chennai / Bengaluru / Hyderabad / Pune / Mumbai / Surat / Ahmadabad / Karachi / Riyadh / Baghdad / Istanbul / Alexandria / Cairo / Khartoum / Kinshasa / Luanda / Lagos / Abidjan / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Dallas / Phoenix / Los Angeles / Guadalajara / Mexico City / Houston / Chicago / Toronto / Washington / Philadelphia / New York / Boston / Madrid,323477
80,114623.48258922035,Chicago / Dallas / Houston / Mexico City / Guadalajara / Phoenix / Los Angeles / Tokyo / Osaka / Seoul / Shenyang / Wuhan / Chittagong / Dhaka / Haora / Kolkata / Hyderabad / Pune / Mumbai / Bengaluru / Chennai / Singapore / Jakarta / Melbourne / Sydney / Manila / Taipei / Shanghai / Tianjin / Beijing / Xi'an / Delhi / Lahore / Moscow / Saint Petersburg / London / Paris / Madrid / Barcelona / Istanbul / Karachi / Ahmadabad / Surat / Rangoon / Bangkok / Ho Chi Minh City / Hanoi / Hechi / Hong Kong / Shenzhen / Dongguan / Guangzhou / Chongqing / Chengdu / Tehran / Baghdad / Riyadh / Khartoum / Luanda / Kinshasa / Cairo / Alexandria / Lagos / Abidjan / Rio de Janeiro / Porto Alegre / Buenos Aires / Santiago / Sao Paulo / Belo Horizonte / Brasilia / Lima / Bogota / Miami / Atlanta / Washington / Philadelphia / New York / Boston / Toronto / Chicago,82060
90,141473.46958011077,Riyadh / Surat / Mumbai / Pune / Hyderabad / Bengaluru / Chennai / Kolkata / Haora / Dhaka / Chittagong / Rangoon / Bangkok / Hanoi / Hechi / Guangzhou / Dongguan / Shenzhen / Hong Kong / Manila / Ho Chi Minh City / Singapore / Jakarta / Melbourne / Sydney / Yokohama / Tokyo / Osaka / Seoul / Beijing / Tianjin / Nanjing / Wuhan / Taipei / Shanghai / Shenyang / Harbin / Toronto / Montreal / Boston / New York / Philadelphia / Washington / Chicago / Monterrey / Mexico City / Guadalajara / Phoenix / Los Angeles / San Francisco / Seattle / Dallas / Houston / Atlanta / Miami / Lima / Santiago / Buenos Aires / Porto Alegre / Sao Paulo / Rio de Janeiro / Brasilia / Bogota / London / Moscow / Lahore / Ahmadabad / Karachi / Baghdad / Cairo / Lagos / Abidjan / Belo Horizonte / Recife / Madrid / Barcelona / Paris / Saint Petersburg / Xi'an / Chongqing / Guiyang / Chengdu / Delhi / Tehran / Ankara / Istanbul / Alexandria / Kinshasa / Luanda / Khartoum / Riyadh,57926
90,117996.9609650985,Ahmadabad / Surat / Mumbai / Pune / Hyderabad / Rangoon / Bangkok / Ho Chi Minh City / Hanoi / Hechi / Guangzhou / Dongguan / Hong Kong / Shenzhen / Wuhan / Taipei / Manila / Sydney / Melbourne / Jakarta / Singapore / Chennai / Bengaluru / Kolkata / Haora / Dhaka / Chittagong / Guiyang / Nanjing / Shanghai / Shenyang / Harbin / Tokyo / Yokohama / Osaka / Seoul / Tianjin / Beijing / Xi'an / Chongqing / Chengdu / Delhi / Lahore / Tehran / Baghdad / Moscow / Saint Petersburg / London / Paris / Alexandria / Cairo / Khartoum / Kinshasa / Luanda / Rio de Janeiro / Porto Alegre / Buenos Aires / Santiago / Sao Paulo / Belo Horizonte / Lagos / Abidjan / Recife / Brasilia / Lima / Bogota / Miami / Atlanta / Houston / Monterrey / Mexico City / Guadalajara / Los Angeles / San Francisco / Seattle / Phoenix / Dallas / Chicago / Toronto / Washington / Philadelphia / New York / Boston / Montreal / Madrid / Barcelona / Istanbul / Ankara / Riyadh / Karachi / Ahmadabad,115074
90,132883.04581256528,Brasilia / Lima / Bogota / Miami / Chicago / Surat / Mumbai / Pune / Bengaluru / Chennai / Hyderabad / Kolkata / Haora / Dhaka / Delhi / Lahore / Tehran / Baghdad / Ankara / Barcelona / Madrid / Seattle / San Francisco / Los Angeles / Phoenix / Monterrey / Guadalajara / Mexico City / Houston / Dallas / Atlanta / Washington / Philadelphia / New York / Toronto / Montreal / Boston / London / Paris / Saint Petersburg / Moscow / Chengdu / Ho Chi Minh City / Singapore / Jakarta / Melbourne / Sydney / Manila / Hong Kong / Shenzhen / Wuhan / Xi'an / Beijing / Tianjin / Seoul / Osaka / Yokohama / Tokyo / Harbin / Shenyang / Nanjing / Shanghai / Taipei / Dongguan / Guangzhou / Hechi / Chongqing / Guiyang / Hanoi / Bangkok / Rangoon / Chittagong / Ahmadabad / Karachi / Riyadh / Khartoum / Luanda / Kinshasa / Cairo / Alexandria / Istanbul / Lagos / Abidjan / Recife / Belo Horizonte / Rio de Janeiro / Porto Alegre / Buenos Aires / Santiago / Sao Paulo / Brasilia,106041
90,142006.0407688216,Los Angeles / Phoenix / Houston / Miami / Brasilia / Belo Horizonte / Rio de Janeiro / Recife / Madrid / Barcelona / Paris / Saint Petersburg / Moscow / Tehran / Lahore / Delhi / Ahmadabad / Surat / Hyderabad / Chittagong / Rangoon / Bangkok / Hanoi / Hechi / Guangzhou / Dongguan / Shenzhen / Hong Kong / Manila / Taipei / Osaka / Yokohama / Tokyo / Harbin / Shenyang / Seoul / Shanghai / Nanjing / Tianjin / Beijing / Xi'an / Chongqing / Chengdu / Dhaka / Haora / Kolkata / Chennai / Bengaluru / Pune / Mumbai / Karachi / Khartoum / Kinshasa / Luanda / Lagos / Montreal / Toronto / Chicago / Dallas / Atlanta / Washington / Philadelphia / New York / Boston / London / Istanbul / Ankara / Baghdad / Riyadh / Cairo / Alexandria / Abidjan / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Mexico City / Monterrey / Guadalajara / Sydney / Melbourne / Jakarta / Singapore / Ho Chi Minh City / Guiyang / Wuhan / Seattle / San Francisco / Los Angeles,90475
90,96122.92690543861,Shenyang / Beijing / Tianjin / Nanjing / Shanghai / Taipei / Manila / Sydney / Melbourne / Jakarta / Singapore / Ho Chi Minh City / Bangkok / Rangoon / Dhaka / Delhi / Lahore / Ahmadabad / Karachi / Riyadh / Khartoum / Kinshasa / Luanda / Lagos / Abidjan / Recife / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Mexico City / Guadalajara / Monterrey / Phoenix / Los Angeles / San Francisco / Seattle / Dallas / Houston / Miami / Atlanta / Chicago / Toronto / Washington / Philadelphia / New York / Boston / Montreal / Madrid / Barcelona / Paris / London / Saint Petersburg / Moscow / Istanbul / Ankara / Alexandria / Cairo / Baghdad / Tehran / Surat / Mumbai / Pune / Hyderabad / Bengaluru / Chennai / Kolkata / Haora / Chittagong / Hanoi / Hechi / Guangzhou / Dongguan / Hong Kong / Shenzhen / Wuhan / Guiyang / Chongqing / Chengdu / Xi'an / Seoul / Osaka / Yokohama / Tokyo / Harbin / Shenyang,583198
100,113579.9303140779,Taipei / Tianjin / Beijing / Shenyang / Harbin / Pyongyang / Nanjing / Wuhan / Dongguan / Guangzhou / Bangkok / Rangoon / Chennai / Bengaluru / Khartoum / Johannesburg / Luanda / Kinshasa / Lagos / Abidjan / Fortaleza / Recife / Salvador / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Seattle / San Francisco / Los Angeles / Phoenix / Guadalajara / Mexico City / Monterrey / Houston / Dallas / Chicago / Detroit / Toronto / Washington / Philadelphia / New York / Boston / Montreal / London / Paris / Barcelona / Madrid / Algiers / Rome / Berlin / Saint Petersburg / Moscow / Lahore / Delhi / Ahmadabad / Surat / Karachi / Riyadh / Cairo / Alexandria / Istanbul / Ankara / Baghdad / Tehran / Mumbai / Pune / Hyderabad / Kolkata / Haora / Dhaka / Chittagong / Hanoi / Hechi / Guiyang / Chongqing / Chengdu / Xi'an / Seoul / Tokyo / Yokohama / Osaka / Busan / Shanghai / Zhangzhou / Shenzhen / Hong Kong / Ho Chi Minh City / Singapore / Jakarta / Melbourne / Sydney / Manila / Taipei,528089
100,107029.91293805087,Porto Alegre / Buenos Aires / Santiago / Sydney / Melbourne / Jakarta / Singapore / Ho Chi Minh City / Manila / Hong Kong / Shenzhen / Dongguan / Guiyang / Chongqing / Chengdu / Xi'an / Wuhan / Nanjing / Tianjin / Beijing / Shenyang / Harbin / Pyongyang / Seoul / Tokyo / Yokohama / Osaka / Busan / Shanghai / Taipei / Zhangzhou / Guangzhou / Hechi / Hanoi / Bangkok / Rangoon / Chittagong / Dhaka / Haora / Kolkata / Chennai / Bengaluru / Hyderabad / Pune / Mumbai / Surat / Ahmadabad / Delhi / Lahore / Karachi / Riyadh / Baghdad / Tehran / Moscow / Saint Petersburg / Berlin / London / Paris / Barcelona / Madrid / Algiers / Rome / Istanbul / Ankara / Alexandria / Cairo / Khartoum / Johannesburg / Luanda / Kinshasa / Lagos / Abidjan / Boston / Washington / Atlanta / Dallas / Houston / Monterrey / Mexico City / Guadalajara / Phoenix / Los Angeles / San Francisco / Seattle / Chicago / Detroit / Toronto / Montreal / New York / Philadelphia / Miami / Bogota / Lima / Brasilia / Fortaleza / Recife / Salvador / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre,564479
100,132408.02699846483,Mumbai / Pune / Bengaluru / Chennai / Hyderabad / Kolkata / Haora / Delhi / Lahore / Karachi / Tehran / Baghdad / Riyadh / Khartoum / Kinshasa / Lagos / Abidjan / Algiers / Barcelona / Madrid / London / Paris / Rome / Alexandria / Cairo / Ankara / Istanbul / Berlin / Saint Petersburg / Moscow / Chengdu / Ho Chi Minh City / Singapore / Jakarta / Sydney / Melbourne / Johannesburg / Luanda / Recife / Salvador / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Brasilia / Fortaleza / Boston / Montreal / New York / Philadelphia / Atlanta / Houston / Dallas / San Francisco / Los Angeles / Phoenix / Monterrey / Guadalajara / Mexico City / Lima / Bogota / Miami / Washington / Toronto / Detroit / Chicago / Seattle / Shanghai / Nanjing / Wuhan / Zhangzhou / Manila / Taipei / Yokohama / Tokyo / Osaka / Busan / Seoul / Pyongyang / Harbin / Shenyang / Tianjin / Beijing / Xi'an / Chongqing / Guiyang / Guangzhou / Dongguan / Shenzhen / Hong Kong / Hechi / Hanoi / Bangkok / Rangoon / Chittagong / Dhaka / Ahmadabad / Surat / Mumbai,155539
100,122017.79166805185,Chittagong / Rangoon / Bangkok / Hanoi / Ho Chi Minh City / Singapore / Jakarta / Melbourne / Sydney / Manila / Hong Kong / Shenzhen / Dongguan / Guangzhou / Zhangzhou / Taipei / Shanghai / Nanjing / Hechi / Guiyang / Chongqing / Chengdu / Xi'an / Wuhan / Beijing / Tianjin / Busan / Osaka / Yokohama / Tokyo / Seoul / Pyongyang / Shenyang / Harbin / Seattle / San Francisco / Los Angeles / Phoenix / Dallas / Chicago / Atlanta / Houston / Monterrey / Guadalajara / Mexico City / Lima / Bogota / Miami / Detroit / Toronto / Washington / Philadelphia / New York / Boston / Montreal / Saint Petersburg / Moscow / Tehran / Lahore / Delhi / Pune / Mumbai / Surat / Ahmadabad / Karachi / Baghdad / Cairo / Alexandria / Ankara / Istanbul / Rome / Berlin / London / Paris / Barcelona / Madrid / Algiers / Lagos / Abidjan / Fortaleza / Recife / Salvador / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Santiago / Buenos Aires / Johannesburg / Luanda / Kinshasa / Khartoum / Riyadh / Hyderabad / Bengaluru / Chennai / Kolkata / Haora / Dhaka / Chittagong,423101
100,111414.63084926545,Abidjan / Lagos / Kinshasa / Khartoum / Alexandria / Rome / Paris / London / Berlin / Saint Petersburg / Moscow / Istanbul / Ankara / Cairo / Riyadh / Baghdad / Tehran / Karachi / Lahore / Delhi / Ahmadabad / Surat / Mumbai / Pune / Hyderabad / Kolkata / Haora / Dhaka / Chittagong / Hanoi / Guiyang / Chongqing / Chengdu / Xi'an / Wuhan / Nanjing / Tianjin / Beijing / Shenyang / Harbin / Pyongyang / Seoul / Tokyo / Yokohama / Osaka / Busan / Shanghai / Taipei / Zhangzhou / Dongguan / Guangzhou / Hechi / Shenzhen / Hong Kong / Manila / Sydney / Melbourne / Jakarta / Singapore / Ho Chi Minh City / Bangkok / Rangoon / Chennai / Bengaluru / Johannesburg / Luanda / Recife / Fortaleza / Salvador / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Chicago / Dallas / Houston / Monterrey / Mexico City / Guadalajara / Phoenix / Los Angeles / San Francisco / Seattle / Detroit / Toronto / Washington / Philadelphia / New York / Boston / Montreal / Madrid / Barcelona / Algiers / Abidjan,441600
