Number of cities,Optimal route,Optimal distance,Optimal fitness,Duration (in ms),PopulationSize,Number of generation,Mutation rate,Tournament selection size,Number of elite routes
100,Lahore / Bogota / Luanda / Chittagong / Karachi / Xi'an / Tehran / Boston / Philadelphia / Toronto / Riyadh / Brasilia / Singapore / Phoenix / Fortaleza / Bengaluru / Porto Alegre / Seattle / Beijing / Manila / Houston / Montreal / Alexandria / Shenyang / Taipei / Guangzhou / Rangoon / Pyongyang / Istanbul / Chicago / Tianjin / Busan / Shanghai / Baghdad / Surat / Los Angeles / Sao Paulo / Hong Kong / Tokyo / Osaka / Lagos / Chengdu / Lima / London / Atlanta / Ho Chi Minh City / Seoul / Moscow / Santiago / Monterrey / Saint Petersburg / Hyderabad / Buenos Aires / Madrid / Johannesburg / Pune / Ahmadabad / Guadalajara / New York / Cairo / Washington / Melbourne / Dhaka / Hechi / Guiyang / Delhi / Miami / Belo Horizonte / Recife / Berlin / Barcelona / Detroit / Khartoum / Rio de Janeiro / Salvador / Mexico City / Chennai / Haora / Yokohama / Sydney / Harbin / Bangkok / Algiers / Rome / Ankara / Zhangzhou / Kinshasa / Hanoi / Mumbai / Kolkata / Shenzhen / Wuhan / Dongguan / Jakarta / Nanjing / Paris / Abidjan / Chongqing / Dallas / San Francisco / Lahore,747103.5653914417,0.0013385025133376982,4779,20,10000,0.0,14,2
100,Paris / Guiyang / Guangzhou / Busan / Mumbai / Pyongyang / Los Angeles / Hyderabad / Surat / Shenzhen / Ho Chi Minh City / Philadelphia / Shenyang / Toronto / Barcelona / New York / Madrid / Khartoum / Karachi / Washington / Taipei / Pune / Jakarta / Rangoon / Alexandria / Bengaluru / Ankara / Fortaleza / Belo Horizonte / Recife / Buenos Aires / Lahore / Montreal / Hanoi / Chicago / Bangkok / Salvador / London / Delhi / Hong Kong / Singapore / Melbourne / Brasilia / Seattle / Dallas / Baghdad / Johannesburg / Miami / Houston / Lima / Yokohama / Dongguan / Chongqing / Moscow / Abidjan / San Francisco / Santiago / Saint Petersburg / Rome / Istanbul / Ahmadabad / Chittagong / Kinshasa / Riyadh / Seoul / Dhaka / Harbin / Sao Paulo / Beijing / Chengdu / Tehran / Chennai / Boston / Kolkata / Mexico City / Zhangzhou / Berlin / Haora / Hechi / Sydney / Guadalajara / Lagos / Nanjing / Osaka / Phoenix / Manila / Tianjin / Tokyo / Xi'an / Cairo / Rio de Janeiro / Atlanta / Monterrey / Shanghai / Wuhan / Porto Alegre / Luanda / Algiers / Bogota / Detroit / Paris,748199.4013375819,0.0013365421012263112,5058,20,10000,0.0,14,2
100,Ahmadabad / Tokyo / Karachi / Hyderabad / Istanbul / Berlin / Seattle / Dhaka / Johannesburg / Lagos / Luanda / Jakarta / Tehran / Hong Kong / Chittagong / Ankara / Kolkata / Melbourne / Rio de Janeiro / Madrid / Philadelphia / Haora / Hanoi / Shanghai / Miami / Mumbai / Rangoon / Atlanta / Delhi / Chennai / Beijing / Osaka / Washington / Paris / Algiers / Cairo / Harbin / Nanjing / Pune / Santiago / Bogota / Fortaleza / Surat / New York / Shenyang / Busan / Recife / Montreal / Detroit / Lima / Baghdad / Porto Alegre / Bengaluru / Lahore / Wuhan / Yokohama / Alexandria / Brasilia / Bangkok / Salvador / Ho Chi Minh City / Chicago / Monterrey / Phoenix / Boston / Riyadh / Moscow / Sydney / Tianjin / London / Toronto / Chongqing / Guangzhou / Houston / Mexico City / Dallas / Pyongyang / Guiyang / Zhangzhou / Guadalajara / Sao Paulo / Los Angeles / Shenzhen / Saint Petersburg / Abidjan / Manila / Hechi / Dongguan / Buenos Aires / Singapore / Kinshasa / Khartoum / Seoul / Taipei / Rome / Belo Horizonte / San Francisco / Chengdu / Xi'an / Barcelona / Ahmadabad,758958.3299145895,0.0013175953943512769,4984,20,10000,0.0,14,2
100,Bangkok / Istanbul / Luanda / Shenyang / Boston / Lagos / Alexandria / Busan / Lahore / Chengdu / Guangzhou / Philadelphia / Chongqing / Moscow / Manila / Houston / Salvador / Jakarta / Chennai / Hong Kong / Ankara / Baghdad / Rangoon / Atlanta / Santiago / Buenos Aires / New York / Tokyo / Xi'an / Berlin / Monterrey / Phoenix / Ahmadabad / London / Rome / Hanoi / Recife / Kolkata / Cairo / Guiyang / Guadalajara / Bengaluru / Madrid / Dallas / Melbourne / Harbin / Hechi / Belo Horizonte / Sao Paulo / Mumbai / Shanghai / Miami / Los Angeles / Barcelona / Chicago / Algiers / Seattle / Surat / Karachi / Tehran / Hyderabad / Chittagong / Taipei / Wuhan / Tianjin / Osaka / Brasilia / Khartoum / Sydney / Lima / Washington / Haora / Zhangzhou / Kinshasa / Bogota / Rio de Janeiro / Toronto / Abidjan / Montreal / Beijing / Dhaka / Dongguan / Pyongyang / Fortaleza / Porto Alegre / Pune / Mexico City / Yokohama / Detroit / Riyadh / Ho Chi Minh City / San Francisco / Delhi / Johannesburg / Singapore / Shenzhen / Paris / Saint Petersburg / Seoul / Nanjing / Bangkok,787323.8080765107,0.0012701254423425512,4795,20,10000,0.0,14,2
100,Ankara / Jakarta / Beijing / Fortaleza / Hechi / Shenyang / Ho Chi Minh City / Barcelona / London / Montreal / Pyongyang / Porto Alegre / Houston / Lima / Cairo / Rangoon / Monterrey / Chengdu / Chongqing / Khartoum / Abidjan / Toronto / Dallas / Miami / Salvador / Buenos Aires / Riyadh / Kolkata / Hanoi / Delhi / Kinshasa / Rome / Taipei / Karachi / San Francisco / Tehran / Hyderabad / Washington / Santiago / Guiyang / Bengaluru / Seoul / Tianjin / Recife / Atlanta / Alexandria / Baghdad / Phoenix / Mexico City / Tokyo / Yokohama / Bangkok / Hong Kong / Shanghai / Moscow / Zhangzhou / Madrid / Luanda / Sao Paulo / Algiers / Xi'an / Guadalajara / New York / Chittagong / Berlin / Chicago / Harbin / Dhaka / Chennai / Mumbai / Pune / Seattle / Belo Horizonte / Saint Petersburg / Bogota / Brasilia / Boston / Rio de Janeiro / Busan / Detroit / Osaka / Shenzhen / Haora / Dongguan / Manila / Paris / Los Angeles / Wuhan / Guangzhou / Surat / Melbourne / Johannesburg / Ahmadabad / Singapore / Sydney / Lagos / Philadelphia / Lahore / Istanbul / Nanjing / Ankara,743427.1663645133,0.0013451216813748844,4757,20,10000,0.0,14,2
100,Buenos Aires / Beijing / Shenyang / Moscow / Phoenix / Toronto / Cairo / Rome / Algiers / Monterrey / Houston / Abidjan / Ankara / Jakarta / Rangoon / Lahore / Recife / Busan / Tokyo / Singapore / Chennai / Fortaleza / Santiago / Seattle / New York / Washington / Hyderabad / Tehran / Taipei / Madrid / Los Angeles / Guadalajara / Chicago / Pune / Karachi / Harbin / Haora / Berlin / San Francisco / Pyongyang / Chittagong / Lagos / Bogota / Belo Horizonte / London / Mexico City / Brasilia / Dhaka / Delhi / Seoul / Alexandria / Chongqing / Johannesburg / Osaka / Kinshasa / Shenzhen / Salvador / Sao Paulo / Boston / Paris / Miami / Lima / Khartoum / Riyadh / Detroit / Istanbul / Luanda / Rio de Janeiro / Bangkok / Hanoi / Surat / Sydney / Baghdad / Dallas / Shanghai / Xi'an / Montreal / Atlanta / Guiyang / Nanjing / Dongguan / Kolkata / Hong Kong / Manila / Bengaluru / Philadelphia / Tianjin / Ho Chi Minh City / Guangzhou / Yokohama / Melbourne / Hechi / Ahmadabad / Mumbai / Porto Alegre / Zhangzhou / Chengdu / Wuhan / Barcelona / Saint Petersburg / Buenos Aires,706401.0885564497,0.001415626357603055,4799,20,10000,0.0,14,2
100,Beijing / Hechi / Seattle / Boston / Sao Paulo / Luanda / Melbourne / Bogota / Guiyang / Dongguan / Surat / Hong Kong / Rome / Khartoum / Saint Petersburg / Abidjan / Lagos / Philadelphia / Guadalajara / Taipei / Toronto / Montreal / Tehran / Salvador / Bangkok / Ahmadabad / Recife / Madrid / Rangoon / Ho Chi Minh City / Osaka / Chennai / Dhaka / Chengdu / Ankara / Hyderabad / Lahore / Chittagong / Xi'an / Kinshasa / Barcelona / Belo Horizonte / Tokyo / Mumbai / Seoul / Harbin / Miami / Lima / Haora / Istanbul / Washington / Moscow / Los Angeles / Rio de Janeiro / Houston / Fortaleza / Wuhan / Jakarta / Guangzhou / Tianjin / Pune / Shenzhen / Nanjing / Baghdad / Chongqing / Karachi / Cairo / Alexandria / Brasilia / Buenos Aires / Algiers / London / Dallas / Pyongyang / Bengaluru / Shanghai / Phoenix / Mexico City / Atlanta / New York / Chicago / Detroit / Johannesburg / Manila / Shenyang / San Francisco / Singapore / Paris / Busan / Zhangzhou / Delhi / Yokohama / Riyadh / Monterrey / Sydney / Berlin / Hanoi / Santiago / Kolkata / Porto Alegre / Beijing,731397.1245480202,0.0013672462830886403,4764,20,10000,0.0,14,2
100,Monterrey / Salvador / Luanda / Alexandria / Detroit / Washington / Sydney / Atlanta / Chicago / Bangkok / Phoenix / Madrid / Dallas / Chengdu / Tehran / Pune / Hanoi / Xi'an / Chittagong / Kolkata / Taipei / Chongqing / Mexico City / Guadalajara / Rio de Janeiro / Montreal / Ho Chi Minh City / Mumbai / Lagos / Shenyang / Los Angeles / Buenos Aires / Guiyang / Kinshasa / Nanjing / Paris / Pyongyang / Johannesburg / San Francisco / Lahore / Moscow / Cairo / Hong Kong / Delhi / Baghdad / New York / Dongguan / Miami / Yokohama / Shenzhen / Harbin / Bogota / Khartoum / Lima / Singapore / Shanghai / Seoul / Hechi / Beijing / Chennai / Dhaka / Haora / Zhangzhou / Tokyo / Wuhan / Tianjin / Porto Alegre / Algiers / Busan / Recife / Melbourne / Osaka / Rangoon / Barcelona / Guangzhou / Karachi / Jakarta / Manila / Ahmadabad / Bengaluru / Seattle / Philadelphia / Boston / Abidjan / Saint Petersburg / Santiago / Fortaleza / Brasilia / Ankara / Rome / Houston / Istanbul / Riyadh / Toronto / Hyderabad / Berlin / Sao Paulo / Belo Horizonte / London / Surat / Monterrey,760594.6883399612,0.0013147606936127227,4718,20,10000,0.0,14,2
100,London / Toronto / Hyderabad / Rome / Porto Alegre / Alexandria / Johannesburg / Yokohama / Tianjin / Ahmadabad / Kolkata / Buenos Aires / Salvador / Tehran / Fortaleza / Mumbai / Manila / Haora / Nanjing / Osaka / Dongguan / Kinshasa / San Francisco / Recife / Boston / Houston / Sao Paulo / Brasilia / Singapore / Miami / Los Angeles / Riyadh / Dhaka / Saint Petersburg / Detroit / New York / Sydney / Baghdad / Moscow / Paris / Busan / Guiyang / Lima / Mexico City / Algiers / Chennai / Chittagong / Guangzhou / Hong Kong / Phoenix / Rangoon / Shanghai / Bengaluru / Bogota / Beijing / Pune / Guadalajara / Barcelona / Surat / Cairo / Jakarta / Dallas / Chicago / Montreal / Bangkok / Pyongyang / Seoul / Chengdu / Hechi / Lahore / Istanbul / Taipei / Melbourne / Tokyo / Shenzhen / Khartoum / Atlanta / Shenyang / Wuhan / Zhangzhou / Madrid / Berlin / Delhi / Santiago / Seattle / Washington / Rio de Janeiro / Lagos / Chongqing / Harbin / Ho Chi Minh City / Monterrey / Hanoi / Karachi / Xi'an / Belo Horizonte / Abidjan / Luanda / Philadelphia / Ankara / London,744425.8836436487,0.001343317074233669,4723,20,10000,0.0,14,2
100,Rio de Janeiro / Philadelphia / Khartoum / London / Buenos Aires / Saint Petersburg / Tokyo / Pune / Hanoi / Zhangzhou / Alexandria / Monterrey / Seoul / Singapore / Dallas / Atlanta / Yokohama / Harbin / Dhaka / Chennai / Luanda / Ho Chi Minh City / Mumbai / Karachi / Bengaluru / Moscow / Toronto / Chicago / Rome / Hong Kong / Shanghai / Surat / Manila / Hechi / Osaka / Kolkata / Bogota / Santiago / Shenzhen / Guangzhou / Chongqing / Washington / Pyongyang / Ahmadabad / Berlin / Algiers / Paris / Kinshasa / Lagos / Detroit / Mexico City / Seattle / Belo Horizonte / Lima / Sydney / Delhi / Nanjing / Guiyang / Recife / Guadalajara / Miami / New York / Montreal / Jakarta / Madrid / Los Angeles / Hyderabad / Salvador / Phoenix / Chittagong / Fortaleza / Porto Alegre / Riyadh / Ankara / Xi'an / Lahore / Johannesburg / Taipei / Baghdad / Busan / Haora / Tehran / Tianjin / Istanbul / Bangkok / Cairo / Sao Paulo / Abidjan / Brasilia / Shenyang / San Francisco / Boston / Chengdu / Rangoon / Barcelona / Wuhan / Melbourne / Dongguan / Beijing / Houston / Rio de Janeiro,707829.9780506156,0.0014127686464396846,4747,20,10000,0.0,14,2
100,Miami / Chicago / Lima / Taipei / Xi'an / Guiyang / Harbin / Berlin / Boston / Detroit / Saint Petersburg / Riyadh / Karachi / Guadalajara / New York / London / Madrid / Los Angeles / Dallas / Monterrey / Bogota / Busan / Cairo / Atlanta / Moscow / Algiers / Philadelphia / Montreal / Pyongyang / Osaka / Shanghai / Yokohama / Belo Horizonte / Rio de Janeiro / Baghdad / Washington / Tianjin / Wuhan / Jakarta / Melbourne / Chennai / Lahore / Tokyo / Surat / Khartoum / Kinshasa / Guangzhou / Rangoon / Hechi / Nanjing / Lagos / Alexandria / Recife / Bangkok / Istanbul / Luanda / Shenyang / Brasilia / Toronto / Mexico City / Buenos Aires / Kolkata / Johannesburg / Hong Kong / Paris / Phoenix / Dongguan / Ho Chi Minh City / Singapore / Manila / Houston / Hyderabad / Tehran / San Francisco / Santiago / Porto Alegre / Seoul / Hanoi / Dhaka / Haora / Zhangzhou / Chongqing / Shenzhen / Beijing / Bengaluru / Fortaleza / Mumbai / Delhi / Ahmadabad / Rome / Barcelona / Seattle / Chittagong / Sao Paulo / Sydney / Pune / Chengdu / Ankara / Abidjan / Salvador / Miami,656877.5496089518,0.0015223537485720342,7641,20,10000,1.0,14,2
